Date,Country/ Territory/Area,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths
2020/06/01,DemocraticRepublicoftheCongo,4973,196,111,5
2020/06/01,Nigeria,17148,490,424,0
2020/06/01,Ghana,12193,229,58,4
2020/06/01,Algeria,11147,116,788,11
2020/06/01,Cameroon,9864,0,276,0
2020/06/01,Côted’Ivoire,5679,595,46,1
2020/06/01,Senegal,5247,157,70,10
2020/06/01,Guinea,4639,67,26,0
2020/06/01,Gabon,4114,81,29,2
2020/06/01,Kenya,3860,133,105,1
2020/06/01,Ethiopia,3630,109,61,1
2020/06/01,CentralAfricanRepublic,2410,188,14,7
2020/06/01,Mauritania,1887,104,91,4
2020/06/01,Mali,1885,25,106,2
2020/06/01,SouthSudan,1776,21,30,0
2020/06/01,Guinea-Bissau,1492,32,15,0
2020/06/01,Zambia,1405,23,11,0
2020/06/01,Madagascar,1317,27,12,2
2020/06/01,SierraLeone,1225,49,51,0
2020/06/01,EquatorialGuinea,1043,0,12,0
2020/06/01,Niger,1016,36,66,0
2020/06/01,BurkinaFaso,895,1,53,0
2020/06/01,Congo,883,0,27,0
2020/06/01,Chad,853,3,74,1
2020/06/01,Uganda,823,0,0,0
2020/06/01,CaboVerde,781,21,7,0
2020/06/01,Mozambique,638,29,4,1
2020/06/01,Rwanda,636,24,2,0
2020/06/01,Malawi,564,8,6,0
2020/06/01,Togo,537,6,13,0
2020/06/01,Benin,532,49,9,0
2020/06/01,Eswatini,520,14,4,0
2020/06/01,Liberia,509,11,33,0
2020/06/01,Zimbabwe,391,4,4,0
2020/06/01,Mauritius,337,0,10,0
2020/06/01,Comoros,197,21,3,1
2020/06/01,Angola,142,0,6,0
2020/06/01,Eritrea,121,12,0,0
2020/06/01,Burundi,104,0,1,0
2020/06/01,Botswana,60,0,1,0
2020/06/01,Gambia,34,6,1,0
2020/06/01,UnitedRepublicofTanzania,509,0,21,0
2020/06/01,SaoTomeandPrincipe,398,10,10,0
2020/06/01,Namibia,34,2,0,0
2020/06/01,Seychelles,11,0,0,0
2020/06/01,Lesotho,4,0,0,0
2020/06/01,Mayotte,2333,23,29,1
2020/06/01,Réunion,495,-1,1,0
2020/06/01,Brazil,888271,20647,43959,627
2020/06/01,Peru,232992,3256,6860,172
2020/06/01,Chile,184449,5013,3383,21
2020/06/01,Mexico,150264,3427,17580,439
2020/06/01,Canada,99147,360,8175,29
2020/06/01,Colombia,53063,2124,1726,59
2020/06/01,Ecuador,47943,621,3970,41
2020/06/01,Argentina,32785,1208,862,20
2020/06/01,Guatemala,10272,427,399,15
2020/06/01,Honduras,9178,320,322,10
2020/06/01,Haiti,4441,132,76,3
2020/06/01,ElSalvador,3941,115,76,2
2020/06/01,UnitedStatesofAmerica,2098106,18514,115980,496
2020/06/01,DominicanRepublic,23686,415,615,10
2020/06/01,Panama,21422,736,448,11
2020/06/01,Bolivia(PlurinationalStateof),19073,614,632,21
2020/06/01,Venezuela(BolivarianRepublicof),3062,84,26,1
2020/06/01,TrinidadandTobago,123,0,8,0
2020/06/01,SaintVincentandtheGrenadines,27,0,0,0
2020/06/01,AntiguaandBarbuda,26,0,3,0
2020/06/01,Cuba,2273,11,84,0
2020/06/01,CostaRica,1744,29,12,0
2020/06/01,Nicaragua,1655,0,55,0
2020/06/01,Paraguay,1303,7,12,0
2020/06/01,Uruguay,848,0,23,0
2020/06/01,Jamaica,621,4,10,0
2020/06/01,Suriname,236,28,6,2
2020/06/01,Guyana,159,0,12,0
2020/06/01,Bahamas,104,0,11,0
2020/06/01,Barbados,97,0,7,0
2020/06/01,Grenada,23,0,0,0
2020/06/01,Belize,21,0,2,0
2020/06/01,SaintLucia,19,0,0,0
2020/06/01,Dominica,18,0,0,0
2020/06/01,SaintKittsandNevis,15,0,0,0
2020/06/01,PuertoRico,5951,61,147,0
2020/06/01,FrenchGuiana,1421,95,5,2
2020/06/01,Martinique,202,0,14,0
2020/06/01,CaymanIslands,187,0,1,0
2020/06/01,Guadeloupe,171,0,14,0
2020/06/01,Bermuda,144,0,9,0
2020/06/01,Aruba,101,0,3,0
2020/06/01,SintMaarten,77,0,15,0
2020/06/01,SaintMartin,42,1,3,0
2020/06/01,Curaçao,22,0,1,0
2020/06/01,UnitedStatesVirginIslands,73,1,6,0
2020/06/01,FalklandIslands(Malvinas),13,0,0,0
2020/06/01,TurksandCaicosIslands,12,0,1,0
2020/06/01,Montserrat,11,0,1,0
2020/06/01,BritishVirginIslands,8,0,1,0
2020/06/01,"Bonaire,SintEustatiusandSaba",7,0,0,0
2020/06/01,SaintBarthélemy,6,0,0,0
2020/06/01,Anguilla,3,0,0,0
2020/06/01,SaintPierreandMiquelon,1,0,0,0
2020/06/01,Iran(IslamicRepublicof),192439,2563,9065,115
2020/06/01,Pakistan,154760,5839,2975,136
2020/06/01,SaudiArabia,136315,4267,1052,41
2020/06/01,Qatar,82077,1201,80,4
2020/06/01,Egypt,47856,1567,1766,94
2020/06/01,Kuwait,36958,527,303,5
2020/06/01,Afghanistan,26874,1241,504,20
2020/06/01,Oman,25269,745,114,6
2020/06/01,UnitedArabEmirates,42982,346,293,2
2020/06/01,Iraq,22700,1385,712,60
2020/06/01,Bahrain,19553,540,47,1
2020/06/01,Morocco,8931,46,212,0
2020/06/01,Sudan,7740,305,477,9
2020/06/01,Djibouti,4539,38,43,0
2020/06/01,Somalia,2658,16,88,0
2020/06/01,Lebanon,1473,9,32,0
2020/06/01,Tunisia,1125,15,49,0
2020/06/01,Jordan,981,2,9,0
2020/06/01,Yemen,889,41,215,6
2020/06/01,Libya,467,0,10,0
2020/06/01,Spain,244328,219,27136,0
2020/06/01,Italy,237500,210,34405,34
2020/06/01,Germany,187184,345,8830,30
2020/06/01,Turkey,181298,1467,4842,17
2020/06/01,France,153045,226,29481,108
2020/06/01,Belgium,60155,55,9663,2
2020/06/01,Belarus,55369,689,318,6
2020/06/01,SyrianArabRepublic,177,0,6,0
2020/06/01,RussianFederation,553301,7843,7478,194
2020/06/01,TheUnitedKingdom,298140,1279,41969,233
2020/06/01,Sweden,53323,940,4939,48
2020/06/01,Netherlands,49087,304,6070,11
2020/06/01,Portugal,37336,300,1522,2
2020/06/01,Ukraine,33234,758,943,30
2020/06/01,Switzerland,31063,15,1677,1
2020/06/01,Poland,30195,407,1272,16
2020/06/01,Ireland,25334,13,1709,3
2020/06/01,Romania,22415,250,1437,10
2020/06/01,Israel,19121,0,302,0
2020/06/01,Armenia,18033,544,302,9
2020/06/01,Austria,17098,33,681,3
2020/06/01,Kazakhstan,15542,350,88,7
2020/06/01,Serbia,12426,59,256,1
2020/06/01,Denmark,12250,33,598,0
2020/06/01,Azerbaijan,10662,338,126,4
2020/06/01,Czechia,10111,47,331,1
2020/06/01,Norway,8631,0,242,0
2020/06/01,Finland,7112,4,326,0
2020/06/01,Uzbekistan,5561,268,19,0
2020/06/01,Tajikistan,5160,63,50,0
2020/06/01,NorthMacedonia,4289,132,201,8
2020/06/01,Hungary,4078,1,567,2
2020/06/01,Luxembourg,4075,3,110,0
2020/06/01,RepublicofMoldova,12254,375,427,0
2020/06/01,BosniaandHerzegovina,3084,45,167,3
2020/06/01,Kyrgyzstan,2562,90,30,1
2020/06/01,Bulgaria,3453,112,181,5
2020/06/01,Greece,3148,14,185,1
2020/06/01,Croatia,2255,1,107,0
2020/06/01,Estonia,1975,1,69,0
2020/06/01,Iceland,1812,2,10,0
2020/06/01,Lithuania,1776,3,76,0
2020/06/01,Albania,1722,50,38,1
2020/06/01,Slovakia,1552,0,28,0
2020/06/01,Slovenia,1509,13,109,0
2020/06/01,Latvia,1098,1,28,0
2020/06/01,Cyprus,985,0,18,0
2020/06/01,Georgia,888,9,14,0
2020/06/01,Andorra,854,1,52,1
2020/06/01,SanMarino,695,0,42,0
2020/06/01,Malta,656,7,9,0
2020/06/01,Montenegro,326,0,9,0
2020/06/01,Monaco,99,0,1,0
2020/06/01,Liechtenstein,83,0,1,0
2020/06/01,HolySee,12,0,0,0
2020/06/01,Kosovo,1713,141,24,1
2020/06/01,IsleofMan,336,0,24,0
2020/06/01,Jersey,316,3,30,0
2020/06/01,Guernsey,252,0,13,0
2020/06/01,FaroeIslands,187,0,0,0
2020/06/01,Gibraltar,176,0,0,0
2020/06/01,Greenland,13,0,0,0
2020/06/01,Nepal,6591,380,19,0
2020/06/01,Thailand,3135,0,58,0
2020/06/01,Maldives,2094,29,8,0
2020/06/01,SriLanka,1915,10,11,0
2020/06/01,Myanmar,262,0,6,0
2020/06/01,Bhutan,67,0,0,0
2020/06/01,Timor-Leste,24,0,0,0
2020/06/01,China,84867,44,4645,0
2020/06/01,Singapore,40969,151,26,0
2020/06/01,Philippines,26781,361,1103,5
2020/06/01,Japan,17628,41,931,4
2020/06/01,RepublicofKorea,12198,43,279,1
2020/06/01,Malaysia,8505,11,121,0
2020/06/01,LaoPeople'sDemocraticRepublic,19,0,0,0
2020/06/01,Australia,7347,12,102,0
2020/06/01,NewZealand,1156,0,22,0
2020/06/01,VietNam,335,1,0,0
2020/06/01,Mongolia,197,0,0,0
2020/06/01,BruneiDarussalam,141,0,3,1
2020/06/01,Cambodia,128,0,0,0
2020/06/01,Fiji,18,0,0,0
2020/06/01,PapuaNewGuinea,8,0,0,0
2020/06/01,NorthernMarianaIslands,30,0,2,0
2020/06/01,NewCaledonia,21,0,0,0
