date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/06/16,DemocraticRepublicoftheCongo,4777,0,106,0
2020/06/16,SouthAfrica,73533,3495,1568,88
2020/06/16,Nigeria,16658,573,424,4
2020/06/16,Ghana,11964,542,54,3
2020/06/16,Algeria,11031,112,777,10
2020/06/16,Cameroon,9864,292,276,1
2020/06/16,Senegal,5090,0,60,0
2020/06/16,Côted’Ivoire,5084,0,45,0
2020/06/16,Guinea,4572,38,26,1
2020/06/16,Gabon,4033,570,27,4
2020/06/16,Kenya,3727,133,104,1
2020/06/16,Ethiopia,3521,176,60,3
2020/06/16,CentralAfricanRepublic,2222,0,7,0
2020/06/16,Mali,1860,51,104,0
2020/06/16,Mauritania,1783,0,87,0
2020/06/16,SouthSudan,1755,62,30,3
2020/06/16,Guinea-Bissau,1460,0,15,0
2020/06/16,Zambia,1382,24,11,0
2020/06/16,Madagascar,1290,18,10,0
2020/06/16,SierraLeone,1176,7,51,0
2020/06/16,EquatorialGuinea,1043,0,12,0
2020/06/16,Niger,980,0,66,0
2020/06/16,BurkinaFaso,894,0,53,0
2020/06/16,Congo,883,104,27,2
2020/06/16,Chad,850,0,73,0
2020/06/16,Uganda,823,0,0,0
2020/06/16,CaboVerde,760,10,7,1
2020/06/16,Rwanda,612,30,2,0
2020/06/16,Mozambique,609,26,3,1
2020/06/16,Malawi,556,9,6,0
2020/06/16,Togo,531,1,13,0
2020/06/16,Eswatini,506,16,4,0
2020/06/16,Liberia,498,40,33,1
2020/06/16,Benin,483,13,9,2
2020/06/16,Zimbabwe,387,4,4,0
2020/06/16,Mauritius,337,0,10,0
2020/06/16,Comoros,176,0,2,0
2020/06/16,Angola,142,2,6,0
2020/06/16,Eritrea,109,13,0,0
2020/06/16,Burundi,104,10,1,0
2020/06/16,Botswana,60,0,1,0
2020/06/16,Namibia,32,0,0,0
2020/06/16,UnitedRepublicofTanzania,509,0,21,0
2020/06/16,SaoTomeandPrincipe,388,0,10,0
2020/06/16,Gambia,28,0,1,0
2020/06/16,Seychelles,11,0,0,0
2020/06/16,Lesotho,4,0,0,0
2020/06/16,Mayotte,2310,28,28,-1
2020/06/16,Réunion,496,1,1,0
2020/06/16,Brazil,867624,17110,43332,612
2020/06/16,Peru,229736,4604,6688,190
2020/06/16,Chile,179436,5143,3362,39
2020/06/16,Mexico,146837,4147,17141,269
2020/06/16,Canada,98787,377,8146,39
2020/06/16,Colombia,50939,2193,1667,75
2020/06/16,Ecuador,47322,571,3929,33
2020/06/16,Argentina,31577,1282,842,23
2020/06/16,Guatemala,9845,354,384,17
2020/06/16,Honduras,8858,403,312,2
2020/06/16,Haiti,4309,144,73,3
2020/06/16,ElSalvador,3826,106,74,2
2020/06/16,UnitedStatesofAmerica,2079592,21754,115484,372
2020/06/16,DominicanRepublic,23271,309,605,13
2020/06/16,Panama,20686,627,437,8
2020/06/16,Bolivia(PlurinationalStateof),18459,617,611,26
2020/06/16,Venezuela(BolivarianRepublicof),2978,74,25,1
2020/06/16,TrinidadandTobago,123,6,8,0
2020/06/16,SaintVincentandtheGrenadines,27,0,0,0
2020/06/16,AntiguaandBarbuda,26,0,3,0
2020/06/16,Cuba,2262,14,84,0
2020/06/16,CostaRica,1715,53,12,0
2020/06/16,Nicaragua,1655,0,55,0
2020/06/16,Paraguay,1296,7,12,1
2020/06/16,Uruguay,848,1,23,0
2020/06/16,Jamaica,617,2,10,0
2020/06/16,Suriname,208,21,4,1
2020/06/16,Guyana,159,0,12,0
2020/06/16,Bahamas,104,1,11,0
2020/06/16,Barbados,97,1,7,0
2020/06/16,Grenada,23,0,0,0
2020/06/16,Belize,21,0,2,0
2020/06/16,SaintLucia,19,0,0,0
2020/06/16,Dominica,18,0,0,0
2020/06/16,SaintKittsandNevis,15,0,0,0
2020/06/16,PuertoRico,5890,79,147,0
2020/06/16,FrenchGuiana,1326,71,3,0
2020/06/16,Martinique,202,0,14,0
2020/06/16,CaymanIslands,187,0,1,0
2020/06/16,Guadeloupe,171,0,14,0
2020/06/16,Bermuda,144,0,9,0
2020/06/16,Aruba,101,0,3,0
2020/06/16,SintMaarten,77,0,15,0
2020/06/16,SaintMartin,41,0,3,0
2020/06/16,Curaçao,22,0,1,0
2020/06/16,UnitedStatesVirginIslands,72,0,6,0
2020/06/16,FalklandIslands(Malvinas),13,0,0,0
2020/06/16,TurksandCaicosIslands,12,0,1,0
2020/06/16,Montserrat,11,0,1,0
2020/06/16,BritishVirginIslands,8,0,1,0
2020/06/16,"Bonaire,SintEustatiusandSaba",7,0,0,0
2020/06/16,SaintBarthélemy,6,0,0,0
2020/06/16,Anguilla,3,0,0,0
2020/06/16,SaintPierreandMiquelon,1,0,0,0
2020/06/16,Iran(IslamicRepublicof),189876,2449,8950,113
2020/06/16,Pakistan,148921,4443,2839,110
2020/06/16,SaudiArabia,132048,4507,1011,39
2020/06/16,Qatar,80876,1274,76,3
2020/06/16,Egypt,46289,1691,1672,97
2020/06/16,Kuwait,36431,511,298,2
2020/06/16,Afghanistan,25633,106,484,8
2020/06/16,Oman,24524,1043,108,4
2020/06/16,UnitedArabEmirates,42636,342,291,2
2020/06/16,Iraq,21315,1106,652,45
2020/06/16,Bahrain,19013,469,46,3
2020/06/16,Morocco,8885,92,212,0
2020/06/16,Sudan,7435,215,468,9
2020/06/16,Djibouti,4501,36,43,0
2020/06/16,Somalia,2642,47,88,0
2020/06/16,Lebanon,1464,18,32,0
2020/06/16,Tunisia,1110,14,49,0
2020/06/16,Jordan,979,18,9,0
2020/06/16,Yemen,848,116,209,44
2020/06/16,Libya,467,49,10,2
2020/06/16,Spain,244109,181,27136,0
2020/06/16,Italy,237290,301,34371,26
2020/06/16,Germany,186839,378,8800,9
2020/06/16,Turkey,179831,1592,4825,18
2020/06/16,France,152819,52,29373,30
2020/06/16,Belgium,60100,71,9661,6
2020/06/16,Belarus,54680,707,312,4
2020/06/16,SyrianArabRepublic,177,0,6,0
2020/06/16,RussianFederation,545458,8248,7284,0
2020/06/16,TheUnitedKingdom,296861,968,41736,38
2020/06/16,Sweden,52383,769,4891,17
2020/06/16,Netherlands,48783,0,6059,0
2020/06/16,Portugal,37036,346,1520,3
2020/06/16,Ukraine,32476,666,913,12
2020/06/16,Switzerland,31048,14,1676,0
2020/06/16,Poland,29788,396,1256,9
2020/06/16,Ireland,25321,18,1706,0
2020/06/16,Israel,19121,113,302,2
2020/06/16,Armenia,17489,425,293,8
2020/06/16,Austria,17065,27,678,1
