date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/06/18,DemocraticRepublicoftheCongo,5099,126,114,3
2020/06/18,Nigeria,17735,587,469,45
2020/06/18,Ghana,12590,397,66,8
2020/06/18,Algeria,11268,121,799,11
2020/06/18,Cameroon,9864,0,276,0
2020/06/18,Côted’Ivoire,6063,384,48,2
2020/06/18,Senegal,5369,122,73,3
2020/06/18,Guinea,4668,29,26,0
2020/06/18,Gabon,4229,115,30,1
2020/06/18,Kenya,4044,184,107,2
2020/06/18,Ethiopia,3759,129,63,2
2020/06/18,CentralAfricanRepublic,2564,154,18,4
2020/06/18,Mauritania,2057,170,93,2
2020/06/18,Mali,1890,5,107,1
2020/06/18,SouthSudan,1807,31,31,1
2020/06/18,Guinea-Bissau,1492,0,15,0
2020/06/18,Zambia,1412,7,11,0
2020/06/18,Madagascar,1378,61,12,0
2020/06/18,SierraLeone,1249,24,51,0
2020/06/18,EquatorialGuinea,1043,0,12,0
2020/06/18,Niger,1020,4,67,1
2020/06/18,BurkinaFaso,899,4,53,0
2020/06/18,Congo,883,0,27,0
2020/06/18,Chad,854,1,74,0
2020/06/18,Uganda,823,0,0,0
2020/06/18,CaboVerde,792,11,7,0
2020/06/18,Mozambique,651,13,4,0
2020/06/18,Rwanda,639,3,2,0
2020/06/18,Benin,572,40,9,0
2020/06/18,Malawi,572,8,6,0
2020/06/18,Eswatini,563,43,4,0
2020/06/18,Togo,537,0,13,0
2020/06/18,Liberia,516,7,33,0
2020/06/18,Mauritius,337,0,10,0
2020/06/18,Comoros,197,0,3,0
2020/06/18,Angola,155,13,7,1
2020/06/18,Eritrea,131,10,0,0
2020/06/18,Burundi,104,0,1,0
2020/06/18,Botswana,79,19,1,0
2020/06/18,Gambia,34,0,1,0
2020/06/18,UnitedRepublicofTanzania,509,0,21,0
2020/06/18,Zimbabwe,401,10,4,0
2020/06/18,SaoTomeandPrincipe,388,-10,10,0
2020/06/18,Namibia,34,0,0,0
2020/06/18,Seychelles,11,0,0,0
2020/06/18,Lesotho,4,0,0,0
2020/06/18,Mayotte,2345,12,29,0
2020/06/18,Réunion,497,2,1,0
2020/06/18,Brazil,923189,34918,45241,1282
2020/06/18,Peru,237156,4164,7056,196
2020/06/18,Chile,220628,36179,3615,232
2020/06/18,Mexico,154863,4599,18310,730
2020/06/18,Canada,99467,320,8213,38
2020/06/18,Colombia,54931,1868,1801,75
2020/06/18,Ecuador,48490,547,4007,37
2020/06/18,Argentina,34159,1374,886,24
2020/06/18,Guatemala,10706,434,418,19
2020/06/18,Honduras,9656,478,330,8
2020/06/18,Haiti,4547,106,80,4
2020/06/18,ElSalvador,4066,125,79,3
2020/06/18,UnitedStatesofAmerica,2126027,27921,116702,722
2020/06/18,DominicanRepublic,24105,419,633,18
2020/06/18,Panama,21962,540,457,9
2020/06/18,Bolivia(PlurinationalStateof),19883,810,659,27
2020/06/18,Venezuela(BolivarianRepublicof),3150,88,27,1
2020/06/18,TrinidadandTobago,123,0,8,0
2020/06/18,SaintVincentandtheGrenadines,29,2,0,0
2020/06/18,AntiguaandBarbuda,26,0,3,0
2020/06/18,Cuba,2280,7,84,0
2020/06/18,Nicaragua,2014,359,64,9
2020/06/18,CostaRica,1796,52,12,0
2020/06/18,Paraguay,1308,5,13,1
2020/06/18,Uruguay,849,1,24,1
2020/06/18,Jamaica,621,0,10,0
2020/06/18,Suriname,242,6,6,0
2020/06/18,Guyana,171,12,12,0
2020/06/18,Bahamas,104,0,11,0
2020/06/18,Barbados,97,0,7,0
2020/06/18,Grenada,23,0,0,0
2020/06/18,Belize,22,1,2,0
2020/06/18,SaintLucia,19,0,0,0
2020/06/18,Dominica,18,0,0,0
2020/06/18,SaintKittsandNevis,15,0,0,0
2020/06/18,PuertoRico,6003,52,147,0
2020/06/18,FrenchGuiana,1554,133,5,0
2020/06/18,Martinique,202,0,14,0
2020/06/18,CaymanIslands,193,6,1,0
2020/06/18,Guadeloupe,171,0,14,0
2020/06/18,Bermuda,144,0,9,0
2020/06/18,Aruba,101,0,3,0
2020/06/18,SintMaarten,77,0,15,0
2020/06/18,SaintMartin,42,0,3,0
2020/06/18,Curaçao,23,1,1,0
2020/06/18,UnitedStatesVirginIslands,73,0,6,0
2020/06/18,FalklandIslands(Malvinas),13,0,0,0
2020/06/18,TurksandCaicosIslands,12,0,1,0
2020/06/18,Montserrat,11,0,1,0
2020/06/18,BritishVirginIslands,8,0,1,0
2020/06/18,"Bonaire,SintEustatiusandSaba",7,0,0,0
2020/06/18,SaintBarthélemy,6,0,0,0
2020/06/18,Anguilla,3,0,0,0
2020/06/18,SaintPierreandMiquelon,1,0,0,0
2020/06/18,Iran(IslamicRepublicof),195051,2612,9185,120
2020/06/18,Pakistan,160118,5358,3093,118
2020/06/18,SaudiArabia,141234,4919,1091,39
2020/06/18,Qatar,83174,1097,82,2
2020/06/18,Egypt,49219,1363,1850,84
2020/06/18,Kuwait,37533,575,306,3
2020/06/18,Afghanistan,27337,463,546,42
2020/06/18,Oman,26079,810,116,2
2020/06/18,UnitedArabEmirates,43364,382,295,2
2020/06/18,Iraq,24254,1554,773,61
2020/06/18,Bahrain,19961,408,49,2
2020/06/18,Morocco,8997,66,213,1
2020/06/18,Sudan,8020,280,487,10
2020/06/18,Djibouti,4545,6,43,0
2020/06/18,Somalia,2696,38,88,0
2020/06/18,Lebanon,1489,16,32,0
2020/06/18,Tunisia,1128,3,50,1
2020/06/18,Jordan,987,6,9,0
2020/06/18,Yemen,906,17,245,30
2020/06/18,Libya,482,15,10,0
2020/06/18,Spain,244683,355,27136,0
2020/06/18,Italy,237828,328,34448,43
2020/06/18,Germany,187764,580,8856,26
2020/06/18,Turkey,182727,1429,4861,19
2020/06/18,France,153356,311,29509,28
2020/06/18,Belgium,60244,89,9675,12
2020/06/18,Belarus,56032,663,324,6
2020/06/18,SyrianArabRepublic,178,1,7,1
2020/06/18,RussianFederation,561091,7790,7660,182
2020/06/18,TheUnitedKingdom,299255,1115,42153,184
2020/06/18,Netherlands,49204,117,6074,4
2020/06/18,Portugal,37672,336,1523,1
2020/06/18,Ukraine,34063,829,966,23
2020/06/18,Switzerland,31100,37,1677,0
2020/06/18,Poland,30701,506,1286,14
2020/06/18,Ireland,25341,7,1710,1
2020/06/18,Romania,22760,345,1451,14
2020/06/18,Israel,19637,299,303,1
2020/06/18,Armenia,18698,665,309,7
2020/06/18,Austria,17115,17,687,6
2020/06/18,Serbia,12522,96,257,1
2020/06/18,Denmark,12294,44,598,0
2020/06/18,Azerbaijan,10991,329,133,7
2020/06/18,Czechia,10162,51,333,2
2020/06/18,Norway,8660,29,243,1
2020/06/18,Finland,7117,5,326,0
2020/06/18,Uzbekistan,5697,136,19,0
2020/06/18,Tajikistan,5221,61,51,1
2020/06/18,NorthMacedonia,4482,193,210,9
2020/06/18,Luxembourg,4085,10,110,0
2020/06/18,Hungary,4079,1,568,1
2020/06/18,Kazakhstan,15877,335,100,0
2020/06/18,RepublicofMoldova,12732,478,433,6
2020/06/18,BosniaandHerzegovina,3144,60,167,0
2020/06/18,Kyrgyzstan,2657,95,31,1
2020/06/18,Bulgaria,3542,89,184,3
2020/06/18,Greece,3203,55,187,2
2020/06/18,Croatia,2258,3,107,0
2020/06/18,Estonia,1977,2,69,0
2020/06/18,Iceland,1815,3,10,0
2020/06/18,Albania,1788,66,39,1
2020/06/18,Lithuania,1778,2,76,0
2020/06/18,Slovakia,1561,9,28,0
2020/06/18,Slovenia,1513,4,109,0
2020/06/18,Latvia,1104,6,30,2
2020/06/18,Cyprus,985,0,18,0
2020/06/18,Georgia,893,5,14,0
2020/06/18,Andorra,854,0,52,0
2020/06/18,SanMarino,709,14,42,0
2020/06/18,Malta,662,6,9,0
2020/06/18,Montenegro,333,7,9,0
2020/06/18,Monaco,99,0,1,0
2020/06/18,Liechtenstein,83,0,1,0
2020/06/18,HolySee,12,0,0,0
2020/06/18,Kosovo,1790,77,24,0
2020/06/18,IsleofMan,336,0,24,0
2020/06/18,Jersey,316,0,30,0
2020/06/18,Guernsey,252,0,13,0
2020/06/18,FaroeIslands,187,0,0,0
2020/06/18,Gibraltar,176,0,0,0
2020/06/18,Greenland,13,0,0,0
2020/06/18,Nepal,7177,586,20,1
2020/06/18,Thailand,3141,6,58,0
2020/06/18,Maldives,2120,26,8,0
2020/06/18,SriLanka,1924,9,11,0
2020/06/18,Myanmar,263,1,6,0
2020/06/18,Bhutan,67,0,0,0
2020/06/18,Timor-Leste,24,0,0,0
2020/06/18,China,84903,36,4645,0
2020/06/18,Singapore,41216,247,26,0
2020/06/18,Philippines,27238,457,1108,5
2020/06/18,Japan,17668,40,935,4
2020/06/18,RepublicofKorea,12257,59,280,1
2020/06/18,Malaysia,8515,10,121,0
2020/06/18,LaoPeople'sDemocraticRepublic,19,0,0,0
2020/06/18,Australia,7370,23,102,0
2020/06/18,NewZealand,1157,1,22,0
2020/06/18,VietNam,335,0,0,0
2020/06/18,Mongolia,197,0,0,0
2020/06/18,BruneiDarussalam,141,0,3,0
2020/06/18,Cambodia,129,1,0,0
2020/06/18,Fiji,18,0,0,0
2020/06/18,PapuaNewGuinea,8,0,0,0
2020/06/18,NorthernMarianaIslands,30,0,2,0
2020/06/18,NewCaledonia,21,0,0,0
