date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/06/01,Afghanistan,15750,656,265,15
2020/06/01,Albania,1143,7,33,0
2020/06/01,Algeria,9394,127,653,7
2020/06/01,Andorra,764,0,51,0
2020/06/01,Angola,86,2,4,0
2020/06/01,Anguilla,3,0,0,0
2020/06/01,AntiguaandBarbuda,25,0,3,0
2020/06/01,Argentina,16214,1512,530,20
2020/06/01,Armenia,9492,210,139,8
2020/06/01,Aruba,101,0,3,0
2020/06/01,Austria,16642,4,668,0
2020/06/01,Azerbaijan,5494,248,63,2
2020/06/01,Bahamas,101,0,11,0
2020/06/01,Bahrain,11398,605,19,2
2020/06/01,Bangladesh,47153,2545,650,40
2020/06/01,Barbados,92,0,7,0
2020/06/01,Belarus,42556,898,235,6
2020/06/01,Belgium,58381,195,9467,14
2020/06/01,Belize,18,0,2,0
2020/06/01,Benin,232,0,3,0
2020/06/01,Bermuda,140,0,9,0
2020/06/01,Bhutan,43,10,0,0
2020/06/01,Bolivia(PlurinationalStateof),9592,861,310,10
2020/06/01,"Bonaire,SintEustatiusandSaba",7,0,0,0
2020/06/01,BosniaandHerzegovina,2509,16,152,0
2020/06/01,Botswana,38,3,1,0
2020/06/01,Brazil,498440,33274,28834,956
2020/06/01,BritishVirginIslands,8,0,1,0
2020/06/01,Bulgaria,2513,0,140,0
2020/06/01,BurkinaFaso,881,28,53,0
2020/06/01,Burundi,63,21,1,0
2020/06/01,CaboVerde,435,14,4,0
2020/06/01,Cameroon,5904,245,191,6
2020/06/01,Canada,90516,775,7092,96
2020/06/01,CaymanIslands,141,0,1,0
2020/06/01,CentralAfricanRepublic,1011,137,2,1
2020/06/01,Chad,778,19,65,0
2020/06/01,Chile,99688,4830,1054,57
2020/06/01,China,84588,18,4645,0
2020/06/01,Colombia,28236,1548,890,37
2020/06/01,Comoros,62,19,2,0
2020/06/01,Congo,604,17,20,1
2020/06/01,CostaRica,1047,25,10,0
2020/06/01,Croatia,2246,0,103,0
2020/06/01,Cuba,2045,20,83,0
2020/06/01,Curaçao,20,0,1,0
2020/06/01,Cyprus,944,1,17,0
2020/06/01,Czechia,9273,43,320,1
2020/06/01,Côted’Ivoire,2833,34,33,0
2020/06/01,DemocraticRepublicoftheCongo,3048,83,71,3
2020/06/01,Denmark,11669,36,574,3
2020/06/01,Djibouti,3354,160,24,2
2020/06/01,Dominica,16,0,0,0
2020/06/01,DominicanRepublic,17285,377,502,4
2020/06/01,Ecuador,39098,527,3358,24
2020/06/01,Egypt,24985,1536,959,46
2020/06/01,ElSalvador,2517,122,46,2
2020/06/01,EquatorialGuinea,1043,0,12,0
2020/06/01,Eritrea,39,0,0,0
2020/06/01,Estonia,1869,4,68,1
2020/06/01,Eswatini,285,2,2,0
2020/06/01,Ethiopia,1172,109,11,3
2020/06/01,FalklandIslands(Malvinas),13,0,0,0
2020/06/01,FaroeIslands,187,0,0,0
2020/06/01,Finland,6859,33,320,4
2020/06/01,France,148524,88,28746,29
2020/06/01,FrenchGuiana,477,41,1,0
2020/06/01,Gabon,2655,42,17,2
2020/06/01,Gambia,25,0,1,0
2020/06/01,Georgia,794,11,12,0
2020/06/01,Germany,181815,333,8511,11
2020/06/01,Ghana,7881,113,36,1
2020/06/01,Gibraltar,169,8,0,0
2020/06/01,Greece,2917,2,175,0
2020/06/01,Greenland,13,0,0,0
2020/06/01,Grenada,23,0,0,0
2020/06/01,Guadeloupe,162,0,14,0
2020/06/01,Guatemala,4739,132,102,12
2020/06/01,Guernsey,252,0,13,0
2020/06/01,Guinea,3771,65,23,0
2020/06/01,Guinea-Bissau,1322,66,8,0
2020/06/01,Guyana,152,2,12,1
2020/06/01,Haiti,1865,281,41,6
2020/06/01,HolySee,12,0,0,0
2020/06/01,Honduras,5094,208,201,2
2020/06/01,Hungary,3876,9,526,2
2020/06/01,Iceland,1806,0,10,0
2020/06/01,India,190535,8392,5394,230
2020/06/01,Indonesia,26473,700,1613,40
2020/06/01,Iran(IslamicRepublicof),151466,2516,7797,63
2020/06/01,Iraq,6439,260,205,10
2020/06/01,Ireland,24990,61,1652,1
2020/06/01,IsleofMan,336,0,24,0
2020/06/01,Israel,17071,59,285,1
2020/06/01,Italy,233019,355,33415,75
2020/06/01,Jamaica,581,6,9,0
2020/06/01,Japan,16884,33,892,1
2020/06/01,Jersey,308,0,29,0
2020/06/01,Jordan,739,5,9,0
2020/06/01,Kazakhstan,11308,450,41,3
2020/06/01,Kenya,1962,74,64,1
2020/06/01,Kosovo,1064,0,30,0
2020/06/01,Kuwait,27043,851,212,7
2020/06/01,Kyrgyzstan,1817,69,16,0
2020/06/01,Latvia,1066,1,24,0
2020/06/01,Lebanon,1220,29,27,1
2020/06/01,Lesotho,2,0,0,0
2020/06/01,Liberia,288,8,27,0
2020/06/01,Libya,156,26,5,0
2020/06/01,Liechtenstein,83,0,1,0
2020/06/01,Lithuania,1675,5,70,0
2020/06/01,Luxembourg,4018,2,110,0
2020/06/01,Madagascar,771,13,6,0
2020/06/01,Malawi,284,5,4,0
2020/06/01,Malaysia,7819,57,115,0
2020/06/01,Maldives,1773,101,5,0
2020/06/01,Mali,1265,15,77,1
2020/06/01,Malta,616,0,7,0
2020/06/01,Martinique,200,0,14,0
2020/06/01,Mauritania,530,47,23,2
2020/06/01,Mauritius,335,0,10,0
2020/06/01,Mayotte,1871,128,23,2
2020/06/01,Mexico,87512,2885,9779,364
2020/06/01,Monaco,98,0,1,0
2020/06/01,Montenegro,324,0,9,0
2020/06/01,Montserrat,11,0,1,0
2020/06/01,Morocco,7807,27,205,1
